"SAP Buchungskreis";"order number";"article number";"article name"
"M018";"190538831";"2226511";"HR 3655/00 35.000 U/MIN. 1400W EDELSTAHL"
"S339";"190222733";"2472451";"AC 2729/10 2-IN-1 KOMBIGERÄT"
"M211";"190381288";"1884015";"S 9711/31"
"M103";"190587401";"2519397";"SM 7683/10 XELSIS EDELSTAHL FRONT"
"M205";"190471502";"2304227";"GC 220/99 EASY 6 BÜGELBRETT"
"M029";"190371291";"2229915";"HX 8432/01 AIRFLOSS ULTRA"
"S104";"190399646";"2312260";"BRE 652/00 + PEDIKÜRE AUFSATZ ETC"
"M177";"190368492";"2417798";"1741430P7 HUE LILY LED SPOT 3FLG. SCHWARZ 700LM WA"
"M120";"190398507";"2744380";"SH 91/50 SCHERKOPF S9 SERIE"
"M227";"190428242";"2670584";"HD 6562/32 SENSEO VIVA CAFE"
"M227";"190428242";"2712916";"CSA 240/20 SENSEO SELECT ECO"
"M066";"190457954";"2027006";"FC 8375/09"
"S323";"190330920";"2583337";"HR7310/00 1,5L, 700W"
"M211";"190381303";"1591102";"HF 3510/01"
"M188";"190496483";"2716522";"DST5010/10 5000 SERIE 160G DAMPFSTOSS GR/W"
"M078";"190473858";"2583305";"SM 7786/00 XELSIS EDELSTAHL/ANTHRAZIT"
"M162";"190386251";"2312285";"HX 9044/33 4 BÜRSTENKÖPFE SW"
"M078";"190479189";"2583347";"BHD274/00 DRYCARE PRO 2200WATT"
"M115";"190328842";"2457187";"BT 7520/15 BARTSCHNEIDER M. VAKUUM"
"S331";"190257513";"2638290";"HD 6561/68 SENSEO VIVA CAFE SCHWARZ+200PADS"
"M221";"190783524";"2457193";"HX 6821/47 PROTECTIVECLEAN PROMO"
"M161";"190444278";"2457199";"HD 7769/00 GRIND&BREW SW/EDELSTAHL"
"S208";"190426345";"2658283";"BRI 959/00"
"M209";"190487838";"2607297";"HD 9260/90 AIRFRYER XL 1,2KG"
"M299";"190554689";"2667275";"HX 9914/57 DIAMONDCLEAN PREMIUM DP"
"M012";"190403375";"2312227";"HD 9630/90 AIRFRYER 1 4KG DREHRAD"
"S044";"190512447";"2583328";"HD9351/90 1,7L, 2200W, EDELSTAHL"
"S213";"190874499";"2312256";"GC 5033/80 AZUR ELITE 3000W"
"S058";"190313128";"2583307";"HD 6554/67 SENSEO + MILCHAUFSCHÄUMER-STAB"
"M182";"190368797";"2026952";"HD 7765/00"
"S083";"190320865";"2112356";"HD 8829/01"
"S042";"190338532";"2590976";"900923094 AKIT19"
"M104";"981433686";"1980337";"HX 6512/45 SONICARE EASYCLEAN"
"M086";"190446663";"2670811";"MG 5716/90"
"S006";"190676836";"1687420";"SC 5265/12"
"S041";"190403755";"1883988";"BHD 002/00 ESSENTAL CARE COMPACT"
"M036";"190317497";"2395962";"HD 6592/60 SENSEO SWITCH SCHWARZ"
"M226";"190398861";"2457191";"HX 6807/51 PROTECTIVECLEAN WEISS/MINT"
"S044";"190512447";"1830359";"SCF 355/00"
"S063";"190457067";"1980324";"NT 3160/10"
"S209";"190450064";"1980325";"NT 5175/16 SERIES 5000 NOSE TRIMMER"
"S077";"126037709";"2670583";"HD 6554/22 SENSEO ORIGINAL"
"M180";"190398281";"1822482";"HC 7450/80 7000ER SERIE"
"M085";"190511318";"2457162";"SCD 503/26 AUDIO-BABYPHONE"
"M180";"190403666";"2457223";"HX 9004/10 INTERCARE 4PK W"
"M162";"190382916";"2457180";"S 3551/12 PHILISHAVE RASIERER WEISS"
"M115";"190328823";"2312215";"HD 6570/60 SENSEO LATTE DUO SW/GR"
"M106";"190539236";"2217952";"FC 6169/01 2-IN-1 AKKUSAUGER 18 V"
"M168";"190425727";"2543333";"AZ215B/12"
"S042";"190338532";"2395821";"CA 6702/10 BRITA - INTENZA+"
"S042";"190338532";"2645012";"XM200009-03 BÜRSTE FÜR S5/S6 MAX"
"S038";"330558116";"6571200";"HD 4646/00 WEISS"
"M307";"190322248";"2670375";"EP 5447/90"
"S053";"190355097";"2374414";"S 5270/06 AQUA TOUCH 50MIN/1H LZ"
"M310";"190098774";"2395848";"FC 6823/01 SPEEDPRO MAX 25,2 V ROT"
"M306";"190263154";"2229891";"FC 9331/09 POWER PRO COMPACT"
"M134";"190526833";"2643589";"HX 8261/01 AIRFLOSS + ZUBEHÖR"
"M016";"190398153";"2691428";"MG 7785/20 MULTIGROOM"
"M010";"190533240";"1884704";"HP 8280/00 MOISTURE PROTECT"
"M190";"190559291";"2161344";"HF 3531/01 WAKE-UP LIGHT, NACHTLICH"
"M178";"190337054";"2663293";"TAB 7305/10"
"M131";"190437112";"2395804";"BG 3015/15 SERIES 3000"
"M142";"190328737";"2528089";"HR 2653/90 800W INKL ZERKLEINERER"
"M116";"190549164";"2689595";"B07ZZVRWLK FIRE TV STICK M. ALEXA-SPRACHFERNBED."
"M152";"190332458";"2663281";"TAR 5505/10"
"M110";"190440502";"1883952";"GC 026/00 FUSSELRASIERER TÜRKS"
"S087";"190343695";"1804270";"HU 4803/01 SENSOR WEISS/GRAU"
"S020";"190426537";"2728699";"HX9992/12 SONICARE PRESTIGE MIDNIGHT BLUE"
"M165";"190331528";"2528076";"EP 3243/50 3200 LATTEGO W"
"M131";"190437112";"2583326";"GC 365/80 STEAM&GO PLUS 1300W"
"M049";"190476053";"2457169";"BG 7025/15 BODYGROOM SERIES 7000"
"S088";"190775388";"2457207";"GC 4549/00 AZUR 2500W GOLD"
"M259";"190210689";"2583349";"HC7650/15 SERIES 7000"
"M086";"190446663";"2259979";"HX 8431/03 AIRFLOSS ULTRA SCHWARZ"
"S216";"190418758";"2312230";"HD 9652/90 AIRFRYER 1,4KG DIGITAL"
"M227";"190426134";"2457231";"FC 8782/09 PERFORMER SILENT 650W"
"S004";"190696975";"2457208";"GC 8930/10 PERFECTCARE EXPERT +/GRAU"
"S048";"190411232";"2374422";"EP 5365/10 5000 EDELSTAHL"
"M065";"190486935";"2457197";"PR 3120/00 INFRACARE 300W"
"S027";"196829410";"2027051";"SH 50/50"
"M252";"190229330";"2643590";"HX 8438/01 AIRFLOSS ULTRA + ZUB"
"M173";"190510376";"2610031";"HTL 3325 SOUNDBAR LAUTSPRECHER"
"M190";"190567693";"1883992";"HP 8232/20"
"M132";"190322827";"1883974";"HX 6712/43"
"M209";"190487291";"2688467";"65 PUS 7805/12"
"S023";"190514187";"1676843";"HP 8230/00 THERMOPROTECT 2100W"
"S315";"190414705";"2457230";"BRE 635/00 EPILIERER 5X ZUBEHÖR"
"S207";"190349255";"2374428";"SM 5573/10 PICOBARISTO DELUXE"
"M174";"190403921";"2663566";"T3215BK/00"
"M020";"190481657";"2528077";"FC 9555/09 POWERPRO ACTIVE"
"M103";"190585136";"1822510";"HX 6510/22"
"S040";"190585551";"2243968";"FY 3433/10 NANOPROTECT S3 HEPA"
"S323";"190333645";"2112359";"HX 6322/04"
"M306";"190263553";"2312216";"HD 6574/20 SENSEO LATTE DUO PEARL SIL."
"M010";"190534275";"2735135";"S 9987/55 SHAVER 9000 DARK CHROME"
"M085";"190511318";"1290782";"QC 5115/15"
"S315";"190414705";"2395878";"GC 351/20 STEAM&GO: 1000 W BLAU WEISS"
"M172";"190431163";"2528099";"HD 6561/69 SENSEO VIVA CAFÉ LIMITED"
"M252";"190229330";"2112398";"QP 6520/20"
"M055";"190365646";"2457202";"HD 9359/90 WASSERKOCHER EDELSTAHL"
"S040";"190585551";"2528102";"FC 8051/01 FUGENDÜSE"
"S096";"190445981";"2122346";"PL24085 BUNDLE LIGHT STRIP+BASIS"
"M210";"190503913";"2252612";"FC 6409/01 POWERPRO AQUA WET+DRY"
"S307";"190537667";"2758322";"HX3673/13 SONICARE 3100 WEISS"
"S064";"190328649";"2177739";"S5340/06 SERIES 5000"
"S015";"190383263";"2528096";"BT 5502/15 SERIES 5000 SW/SILBER"
"M222";"190326211";"2528090";"HR 2657/90 800W INKL SPIRALSCHNEIDER"
"S015";"190383263";"2583146";"HC5630/15 SERIES 5000"
"S210";"190575960";"2642945";"HR 2534/00 650W METALL WEISS"
"M058";"190432350";"1531000";"HR 7762/90"
"M266";"190181844";"2716531";"CSA 240/30 SENSEO SELECT NOUGAT/BEIGE"
"S304";"190711867";"1883989";"BHD 006/00 REISEHAARTROCKNER"
"S042";"190338532";"2588203";"501929 LI-IONEN AKKU 2600 MAH"
"M127";"190494391";"2395851";"FC 6826/01 BRONZE SPEEDPRO MAX 25,2 V"
"M212";"190340564";"2528073";"EP 2221/40 2200 PANARELLO SW"
"M145";"190345656";"1822506";"HX 6034/33 4ER KIDS AB 4 JAHREN"
"M111";"190416743";"1883996";"HP 8372/00"
"S058";"190313128";"2642927";"GC 4567/80 AZUR 2600W"
"M227";"190432850";"2312226";"BHB 876/00 PROCARE AUTO CURLER"
"M227";"190412388";"2395833";"CA 6903/22 AQUACLEAN WASSERFILTER 2X"
"M065";"190490230";"2112378";"BRL 180/00"
"GW03";"206612342";"2226512";"AC 2889/10 SERIES 2000 MIT APP"
"M018";"190540013";"2312254";"GC 4937/20 AZUR ADVANCED 3000W"
"S031";"190604090";"2457212";"HR 2382/15 PASTAMAKER SW/GRAU"
"M003";"190483765";"1883979";"HP 6393/00"
"M003";"190485489";"2571396";"SH98/80 SCHERKOPF S9000 PRESTIGE"
